current_density,peak_index,pct_mean,pct_std,species
0.05,2.0,38.29398672721213,10.89252742151256,4-HB water
0.05,3.0,61.70601327278787,29.08875875862417,3-HB water
0.1,2.0,23.73083305364379,3.30628542715146,4-HB water
0.1,3.0,76.26916694635622,14.688906288053284,3-HB water
0.15,2.0,24.808437157520043,5.800213866102747,4-HB water
0.15,3.0,75.19156284247995,18.46434590876756,3-HB water
0.2,2.0,24.34638993044855,2.22043929443382,4-HB water
0.2,3.0,75.65361006955145,9.38052352224344,3-HB water
0.3,2.0,37.964174842452664,2.0748420206336164,4-HB water
0.3,3.0,62.03582515754734,3.0937889283993023,3-HB water
0.4,2.0,34.136715644908996,3.2826357749936492,4-HB water
0.4,3.0,65.863284355091,10.860639870787661,3-HB water
0.5,2.0,47.19145594533702,4.0803994586589845,4-HB water
0.5,3.0,52.808544054662974,5.607090753850971,3-HB water
0.75,2.0,41.55925975280904,7.5362556554495415,4-HB water
0.75,3.0,58.440740247190945,4.400899934373181,3-HB water
1.0,2.0,41.472394298788736,7.632751622386429,4-HB water
1.0,3.0,58.52760570121127,4.378682441446924,3-HB water
